Χρονική σήμανση,"ΑΒΟΥΡΗΣ 
ΝΙΚΟΛΑΟΣ",ΑΛΕΞΑΝΔΡΙΔΗΣ ΑΝΤΩΝΗΣ,ΑΝΤΩΝΑΚΟΠΟΥΛΟΣ ΘΕΟΔΩΡΟΣ,"ΒΟΒΟΣ
ΠΑΝΑΓΗΣ","ΔΑΣΚΑΛΑΚΗ
ΣΟΦΙΑ","ΔΕΝΑΖΗΣ
ΣΠΥΡΟΣ","ΘΕΟΔΩΡΙΔΗΣ
ΓΕΩΡΓΙΟΣ",ΚΑΖΑΚΟΣ ΔΗΜΟΣΘΕΝΗΣ,"ΚΑΛΑΝΤΩΝΗΣ
ΒΑΣΙΛΕΙΟΣ","ΚΑΛΥΒΑΣ
ΓΡΗΓΟΡΙΟΣ",ΚΑΜΠΙΤΣΗΣ ΓΕΩΡΓΙΟΣ,ΚΟΥΛΟΥΡΙΔΗΣ ΣΤΑΥΡΟΣ,ΚΟΥΝΑΒΗΣ ΠΑΝΑΓΙΩΤΗΣ,ΚΟΥΦΟΠΑΥΛΟΥ ΟΔΥΣΣΕΑΣ,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΛΟΓΟΘΕΤΗΣ ΜΙΧΑΗΛ,ΜΑΡΚΑΚΗΣ ΜΙΧΑΗΛ,ΜΗΤΡΟΝΙΚΑΣ ΕΠΑΜΕΙΝΩΝΔΑΣ,"ΜΟΥΣΤΑΚΑΣ
ΚΩΝΣΤΑΝΤΙΝΟΣ",ΜΠΕΧΛΙΟΥΛΗΣ ΧΑΡΑΛΑΜΠΟΣ,ΜΠΙΡΜΠΑΣ ΑΛΕΞΙΟΣ,ΜΠΙΡΜΠΑΣ ΜΙΧΑΛΗΣ,ΠΑΛΙΟΥΡΑΣ ΒΑΣΙΛΗΣ,ΠΑΠΑΔΑΣΚΑΛΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ,ΠΕΠΠΑΣ ΠΑΥΛΟΣ,ΠΥΡΓΙΩΤΗ ΕΛΕΥΘΕΡΙΑ,ΑΥΤΟΣ ΜΕ ΤΑ ΥΛΙΚΑ ,ΣΓΑΡΜΠΑΣ ΚΥΡΙΑΚΟΣ,ΣΕΡΠΑΝΟΣ ΔΗΜΗΤΡΙΟΣ,ΣΚOΔΡΑΣ ΑΘΑΝΑΣΙΟΣ,ΣΚΟΥΡΑΣ ΕΛΕΥΘΕΡΙΟΣ,ΣΤΥΛΙΑΝΑΚΗΣ ΒΑΣΙΛΕΙΟΣ,ΤΑΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ,ΤΟΜΚΟΣ ΙΩΑΝΝΗΣ,ΦΕΙΔΑΣ ΧΡΗΣΤΟΣ,ΧΑΤΖΗΛΥΓΕΡΟΥΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ
26/09/2023 9:45:35 μ.μ.,3,,3,4,4,,4,,4,,,,6,,,2,3,,,,1,,,,,,6,,,6,6,,,,5,
26/09/2023 9:45:41 μ.μ.,5,1,4,5,5,,4,3,5,0,5,,2,,,0,3,3,,,1,1,0,,3,0,0,5,,6,1,,5,,4,
26/09/2023 9:48:26 μ.μ.,,2,,5,4,,,2,5,,,1,,,,3,3,4,,,3,,3,,,4,5,,4,6,4,,4,,3,
26/09/2023 9:49:04 μ.μ.,5,,1,,3,,,,6,,,,5,,,,4,,,,,,,,,,,,,,,,,,4,
26/09/2023 9:49:07 μ.μ.,5,2,2,5,4,,4,3,5,3,6,4,3,3,5,3,2,4,,,3,2,3,,,,6,4,,6,3,,,6,5,
26/09/2023 9:51:08 μ.μ.,5,2,4,4,4,,3,2,4,1,,2,1,,,,1,3,,,0,3,5,,4,2,,5,,6,3,,4,2,2,
26/09/2023 9:51:35 μ.μ.,4,,2,,3,,,,6,,,,3,,,,3,,,,,,,,,,,4,,,,,,,3,
26/09/2023 9:51:53 μ.μ.,6,2,4,6,4,,5,2,5,,,1,6,,,,3,4,6,6,,1,0,,3,,1,5,5,3,2,3,4,1,5,
26/09/2023 9:52:30 μ.μ.,6,3,2,5,6,5,4,2,2,1,,1,2,,,0,3,3,5,,0,3,5,4,2,2,1,2,3,6,2,,4,5,3,
26/09/2023 9:57:31 μ.μ.,4,3,1,4,6,5,4,4,6,2,,5,6,,5,2,4,5,6,6,2,4,4,5,5,5,4,6,,6,2,,5,4,3,
26/09/2023 9:58:24 μ.μ.,4,,,5,5,,6,,6,,,,4,,,1,1,,,,4,,,,1,,4,,,6,4,,,,0,
26/09/2023 10:00:18 μ.μ.,5,,3,5,4,,,3,5,0,6,,5,,,1,2,3,,,1,2,1,,,5,2,6,,6,0,,2,,4,
26/09/2023 10:02:42 μ.μ.,,4,2,5,4,,2,2,4,,,1,1,,,2,1,4,6,,1,,1,,3,3,3,5,,5,1,,4,3,5,
26/09/2023 10:02:57 μ.μ.,6,,4,6,3,,5,,5,,,,,,,2,,4,,,,,5,,,,,5,,6,2,,,,,
26/09/2023 10:05:48 μ.μ.,5,,2,,3,,,,6,,,,1,,,,3,,,,,,,,,,,5,,,,,,,3,
26/09/2023 10:08:26 μ.μ.,5,3,3,4,3,4,4,4,4,3,,5,4,,,,2,,5,,4,,3,,4,,5,5,4,6,1,3,,4,4,
26/09/2023 10:12:49 μ.μ.,4,3,2,5,4,3,4,4,4,3,3,2,3,2,5,2,2,4,2,2,3,2,1,3,3,5,3,3,4,4,2,2,4,3,3,4
26/09/2023 10:17:28 μ.μ.,5,2,5,6,5,,4,4,5,3,6,,4,,,1,4,4,,,6,4,4,,4,4,5,,,6,3,,6,5,4,
26/09/2023 10:18:46 μ.μ.,6,4,3,3,3,,4,4,5,4,,,6,,,3,4,4,,,3,4,3,,5,5,2,6,,6,4,6,4,,5,
26/09/2023 10:19:01 μ.μ.,5,3,,4,4,,4,4,4,,,2,6,,5,4,4,3,4,5,2,,3,,4,,4,5,,5,4,5,5,,,
26/09/2023 10:20:39 μ.μ.,4,3,4,3,5,3,3,3,6,3,3,3,5,3,3,3,4,3,3,3,3,3,2,3,4,5,0,4,3,4,1,3,3,3,5,3